age,income,city,user_id,signup_date,target
27.0,25.539899488771034,izm,u0102,2024-07-05,0
50.0,52.564564573523285,ank,u0348,2025-01-06,1
55.0,13.753223521812657,ank,u0270,2024-05-17,0
30.0,42.003441127032296,ist,u0106,2024-05-09,1
48.0,74.36573087900318,izm,u0071,2024-07-12,1
64.0,54.87700472947657,ank,u0188,2024-11-11,1
53.0,52.69125219246903,bur,u0020,2024-09-29,1
62.0,77.31170565073035,ank,u0102,2024-12-17,1
41.0,45.94100162504945,ank,u0121,2024-05-23,1
69.0,68.92730619401163,izm,u0214,2024-01-16,1
32.0,51.93960462749511,izm,u0330,2024-10-28,0
46.0,55.700711951885395,ant,u0087,2024-09-01,0
25.0,31.740427162054807,bur,u0372,2024-04-16,0
22.0,42.76929807757675,izm,u0099,2024-03-28,0
46.0,29.037226507341895,ist,u0359,2024-05-08,1
64.0,48.571323826619825,bur,u0151,2025-01-29,1
21.0,55.85603515874401,bur,u0130,2025-01-09,1
29.0,33.34942842362822,izm,u0149,2024-12-06,0
62.0,80.73768384027235,bur,u0308,2024-01-04,1
19.0,54.17159028637941,izm,u0257,2024-11-22,1
44.0,50.866933783778286,ank,u0343,2025-01-01,1
48.0,61.54486627018438,ant,u0293,2024-11-01,0
68.0,37.56607878701117,ank,u0385,2025-01-30,0
68.0,52.4521621875118,izm,u0191,2024-04-04,1
53.0,39.247006694636134,izm,u0276,2024-07-27,1
53.0,73.38019865133474,ank,u0160,2024-08-12,1
43.0,34.12040975904378,ist,u0313,2024-12-13,1
60.0,50.9474818896076,ist,u0021,2024-11-16,0
44.0,54.939736777276636,ist,u0252,2024-02-16,1
22.0,55.92238616611552,izm,u0235,2024-06-29,0
37.0,41.28147240375752,bur,u0344,2024-04-15,1
28.0,36.56735896782354,izm,u0048,2024-07-17,0
27.0,41.498072404308516,bur,u0058,2025-01-20,0
57.0,57.92488151315423,ank,u0169,2024-04-15,0
55.0,47.842313436320545,ant,u0187,2024-10-06,1
23.0,61.94313212678782,bur,u0270,2024-09-16,0
25.0,57.1550557909261,ist,u0189,2024-04-17,1
40.0,15.846309528505884,izm,u0174,2024-01-19,1
64.0,53.71246695255817,ank,u0050,2024-10-22,0
