store,date,sales,id
A,2023-07-26,165.97796193633374,A_2023-07-26
A,2023-07-27,153.83007063152922,A_2023-07-27
A,2023-07-28,147.17129150749605,A_2023-07-28
A,2023-07-29,137.0371789794149,A_2023-07-29
A,2023-07-30,146.2336012115351,A_2023-07-30
A,2023-07-31,154.65330929114782,A_2023-07-31
A,2023-08-01,169.4454400096743,A_2023-08-01
A,2023-08-02,165.0754041023117,A_2023-08-02
A,2023-08-03,154.34157855125386,A_2023-08-03
A,2023-08-04,144.78144575402135,A_2023-08-04
A,2023-08-05,139.273958834104,A_2023-08-05
A,2023-08-06,144.79743817631007,A_2023-08-06
A,2023-08-07,168.0558537041451,A_2023-08-07
A,2023-08-08,166.22392932705657,A_2023-08-08
B,2023-07-26,211.78219520666246,B_2023-07-26
B,2023-07-27,181.82019308362604,B_2023-07-27
B,2023-07-28,182.07587159241552,B_2023-07-28
B,2023-07-29,179.24550744691723,B_2023-07-29
B,2023-07-30,177.971454486663,B_2023-07-30
B,2023-07-31,184.24856332124244,B_2023-07-31
B,2023-08-01,209.9412531584012,B_2023-08-01
B,2023-08-02,209.5351501178041,B_2023-08-02
B,2023-08-03,194.18162866409645,B_2023-08-03
B,2023-08-04,189.13064714033158,B_2023-08-04
B,2023-08-05,184.30559558957142,B_2023-08-05
B,2023-08-06,182.55428364077574,B_2023-08-06
B,2023-08-07,199.30338882058598,B_2023-08-07
B,2023-08-08,206.9470332879904,B_2023-08-08
C,2023-07-26,252.29753163829648,C_2023-07-26
C,2023-07-27,237.82453404140333,C_2023-07-27
C,2023-07-28,221.8877985672899,C_2023-07-28
C,2023-07-29,226.939540397564,C_2023-07-29
C,2023-07-30,222.49395469099963,C_2023-07-30
C,2023-07-31,218.82643434525556,C_2023-07-31
C,2023-08-01,246.63043599477658,C_2023-08-01
C,2023-08-02,250.99416237015257,C_2023-08-02
C,2023-08-03,241.36190801358998,C_2023-08-03
C,2023-08-04,229.94001651462858,C_2023-08-04
C,2023-08-05,218.97242766373475,C_2023-08-05
C,2023-08-06,214.61215254511117,C_2023-08-06
C,2023-08-07,232.27577598067728,C_2023-08-07
C,2023-08-08,240.80377746368268,C_2023-08-08
D,2023-07-26,285.4352667341026,D_2023-07-26
D,2023-07-27,280.11076353778304,D_2023-07-27
D,2023-07-28,257.26718401797825,D_2023-07-28
D,2023-07-29,262.81999885416775,D_2023-07-29
D,2023-07-30,267.2607839697287,D_2023-07-30
D,2023-07-31,268.9617440693037,D_2023-07-31
D,2023-08-01,283.2794454883018,D_2023-08-01
D,2023-08-02,282.6047766258669,D_2023-08-02
D,2023-08-03,284.20453898829027,D_2023-08-03
D,2023-08-04,260.87441018856117,D_2023-08-04
D,2023-08-05,258.0412192558151,D_2023-08-05
D,2023-08-06,257.36900831613355,D_2023-08-06
D,2023-08-07,274.80572566206774,D_2023-08-07
D,2023-08-08,275.7120966080821,D_2023-08-08
