store,date,sales
A,2023-01-01,98.85684183878553
A,2023-01-02,102.65094325020334
A,2023-01-03,118.09990014165489
A,2023-01-04,128.8192778779361
A,2023-01-05,118.71360402766317
A,2023-01-06,88.87807663397817
A,2023-01-07,92.57661182242619
A,2023-01-08,89.11438451319336
A,2023-01-09,101.38068688923865
A,2023-01-10,116.44106324865068
A,2023-01-11,117.98818010969262
A,2023-01-12,117.98389712854122
A,2023-01-13,101.0579702641186
A,2023-01-14,89.35613141622962
A,2023-01-15,94.43570715945211
A,2023-01-16,105.7520459642456
A,2023-01-17,124.69194667596608
A,2023-01-18,117.64296910013255
A,2023-01-19,112.88666229666877
A,2023-01-20,93.11716947742629
A,2023-01-21,75.05814242226818
A,2023-01-22,97.44423933562172
A,2023-01-23,110.68661719315703
A,2023-01-24,113.0244821145818
A,2023-01-25,134.242446426653
A,2023-01-26,104.03206203917078
A,2023-01-27,100.26629501704531
A,2023-01-28,91.00297821711764
A,2023-01-29,104.4692030491303
A,2023-01-30,116.0661526194017
A,2023-01-31,120.15715679120194
A,2023-02-01,124.64289380034039
A,2023-02-02,109.18154160098268
A,2023-02-03,89.85696510389307
A,2023-02-04,91.78860842131573
A,2023-02-05,97.96062157760343
A,2023-02-06,116.38174408436632
A,2023-02-07,128.1917513297269
A,2023-02-08,121.79995777827963
A,2023-02-09,114.44443958331135
A,2023-02-10,97.20042612283407
A,2023-02-11,87.1059736941988
A,2023-02-12,88.53490661922947
A,2023-02-13,122.45465237139074
A,2023-02-14,119.66955914651052
A,2023-02-15,123.24547287306024
A,2023-02-16,110.49148392646381
A,2023-02-17,109.9066860482281
A,2023-02-18,87.69269423192495
A,2023-02-19,99.24608608169574
A,2023-02-20,107.12720063283794
A,2023-02-21,126.79888722417603
A,2023-02-22,124.55908785731411
A,2023-02-23,112.6744629820289
A,2023-02-24,106.8226505432047
A,2023-02-25,101.69607254045516
A,2023-02-26,102.67163109727856
A,2023-02-27,116.06483138643868
A,2023-02-28,122.42153967493466
A,2023-03-01,127.19747168680452
A,2023-03-02,117.47349340010766
A,2023-03-03,106.58442494399338
A,2023-03-04,95.99720362500592
A,2023-03-05,93.66483214898949
A,2023-03-06,117.06455685352252
A,2023-03-07,125.56678661977088
A,2023-03-08,121.34272860093108
A,2023-03-09,126.03494961991801
A,2023-03-10,105.04795372693718
A,2023-03-11,102.93775369204948
A,2023-03-12,110.14707113604477
A,2023-03-13,118.52389746454446
A,2023-03-14,136.56387634428023
A,2023-03-15,125.46496376060543
A,2023-03-16,127.42230593382867
A,2023-03-17,108.13288336759476
A,2023-03-18,99.15129842218136
A,2023-03-19,104.04942977439306
A,2023-03-20,117.63068480723577
A,2023-03-21,131.81446429039892
A,2023-03-22,127.6330196380272
A,2023-03-23,132.1632150084885
A,2023-03-24,116.7857185516194
A,2023-03-25,96.9086191996093
A,2023-03-26,118.20204092575315
A,2023-03-27,132.6253350561835
A,2023-03-28,140.30014966397835
A,2023-03-29,135.29436966785323
A,2023-03-30,122.08374035770011
A,2023-03-31,122.06845427482345
A,2023-04-01,105.45701963543357
A,2023-04-02,118.35719818527411
A,2023-04-03,124.24964986846116
A,2023-04-04,140.83730645592271
A,2023-04-05,140.26211706577377
A,2023-04-06,134.49769509591505
A,2023-04-07,117.55474403756156
A,2023-04-08,120.34130428070766
A,2023-04-09,113.53400031920127
A,2023-04-10,127.1619361806682
A,2023-04-11,148.02637641935797
A,2023-04-12,131.78736431587268
A,2023-04-13,124.38534609584897
A,2023-04-14,125.0581241621847
A,2023-04-15,104.3373408865877
A,2023-04-16,126.1842548768753
A,2023-04-17,124.01828611544151
A,2023-04-18,133.9927433683759
A,2023-04-19,153.16157084160966
A,2023-04-20,142.64134483536992
A,2023-04-21,132.19709767579604
A,2023-04-22,118.56234926692497
A,2023-04-23,111.10517365265133
A,2023-04-24,139.7103897185942
A,2023-04-25,138.61945201131215
A,2023-04-26,148.1886570575057
A,2023-04-27,141.19176789340585
A,2023-04-28,121.81168335469162
A,2023-04-29,118.56055753934913
A,2023-04-30,123.55576779237872
A,2023-05-01,132.25855318693377
A,2023-05-02,135.38106749351527
A,2023-05-03,146.9133477279637
A,2023-05-04,145.21657146688554
A,2023-05-05,120.32433675484845
A,2023-05-06,115.72827407530663
A,2023-05-07,117.16160645264972
A,2023-05-08,142.84558237087606
A,2023-05-09,147.76124077909506
A,2023-05-10,149.31868970017402
A,2023-05-11,134.38875964009148
A,2023-05-12,129.47723906098753
A,2023-05-13,114.3300853533284
A,2023-05-14,121.71351111262565
A,2023-05-15,129.68492352972672
A,2023-05-16,149.53607200669944
A,2023-05-17,152.08346358241698
A,2023-05-18,139.5084635532954
A,2023-05-19,130.3677841892065
A,2023-05-20,113.56771226488962
A,2023-05-21,114.32498220674591
A,2023-05-22,137.8863502075872
A,2023-05-23,148.22751320925562
A,2023-05-24,154.18410730408
A,2023-05-25,156.807124735947
A,2023-05-26,135.4086208351791
A,2023-05-27,116.39914796460769
A,2023-05-28,131.72462549155466
A,2023-05-29,129.10455553693086
A,2023-05-30,146.2079646081322
A,2023-05-31,151.71446905077957
A,2023-06-01,154.53831241665958
A,2023-06-02,127.023214980946
A,2023-06-03,118.66745008531856
A,2023-06-04,126.18181261642695
A,2023-06-05,134.76913028182736
A,2023-06-06,157.48728776965947
A,2023-06-07,147.3943296325468
A,2023-06-08,139.12344417229676
A,2023-06-09,130.61482364477004
A,2023-06-10,122.38788661311882
A,2023-06-11,140.09972008588147
A,2023-06-12,146.19652484155458
A,2023-06-13,153.00277968533157
A,2023-06-14,148.27130556974635
A,2023-06-15,152.82443394517264
A,2023-06-16,128.99045182889924
A,2023-06-17,117.85745473660698
A,2023-06-18,137.40070651709337
A,2023-06-19,144.1516556715491
A,2023-06-20,159.75262517970535
A,2023-06-21,159.28628460038547
A,2023-06-22,154.6492397581795
A,2023-06-23,132.83559035343575
A,2023-06-24,122.67062426656587
A,2023-06-25,136.11209487266933
A,2023-06-26,139.17954201495695
A,2023-06-27,151.84017357051923
A,2023-06-28,156.3907236616233
A,2023-06-29,151.36313104091371
A,2023-06-30,136.36778044571574
A,2023-07-01,122.37637355676453
A,2023-07-02,129.91081734598222
A,2023-07-03,132.40958108665345
A,2023-07-04,161.47886094318355
A,2023-07-05,151.26157274908687
A,2023-07-06,146.38195605019266
A,2023-07-07,140.55473438880247
A,2023-07-08,127.93870333892477
A,2023-07-09,144.78061533541998
A,2023-07-10,139.7428585416593
A,2023-07-11,161.07977745311553
A,2023-07-12,162.38822177336237
A,2023-07-13,147.7496951003162
A,2023-07-14,145.13140387642716
A,2023-07-15,133.09680332993915
A,2023-07-16,141.90327107026158
A,2023-07-17,154.19102492378238
A,2023-07-18,174.20688793270457
A,2023-07-19,172.3930863793457
A,2023-07-20,154.2931650591087
A,2023-07-21,142.30546884778107
A,2023-07-22,142.47403889259533
A,2023-07-23,142.95411014731516
A,2023-07-24,154.84078915658554
A,2023-07-25,153.27573597115543
B,2023-01-01,122.5368577600229
B,2023-01-02,138.17410934580369
B,2023-01-03,149.44589638914388
B,2023-01-04,158.26280752536812
B,2023-01-05,138.2634740000956
B,2023-01-06,135.12131587843862
B,2023-01-07,127.8151205450649
B,2023-01-08,131.4156139801812
B,2023-01-09,138.4161035862078
B,2023-01-10,152.5499418586044
B,2023-01-11,148.57955322883217
B,2023-01-12,146.2983367865902
B,2023-01-13,133.23457505713634
B,2023-01-14,131.12238159484122
B,2023-01-15,124.83543317204808
B,2023-01-16,148.43718861025997
B,2023-01-17,164.69437950396866
B,2023-01-18,146.45400853264616
B,2023-01-19,153.56580847143198
B,2023-01-20,142.3031921234181
B,2023-01-21,126.55145916395928
B,2023-01-22,131.13889687700677
B,2023-01-23,144.70271653447827
B,2023-01-24,155.69072696061008
B,2023-01-25,158.76984086844462
B,2023-01-26,142.7022332487835
B,2023-01-27,146.90573330193536
B,2023-01-28,138.6037928694936
B,2023-01-29,130.39234220775435
B,2023-01-30,138.45145403318492
B,2023-01-31,162.353861495737
B,2023-02-01,158.91919086384894
B,2023-02-02,155.35997506668804
B,2023-02-03,139.82577341036605
B,2023-02-04,138.02531382369378
B,2023-02-05,141.1910226249156
B,2023-02-06,144.6464157292185
B,2023-02-07,152.6772885046501
B,2023-02-08,154.62628829871687
B,2023-02-09,159.9205323614066
B,2023-02-10,136.35858836653244
B,2023-02-11,132.58518319148052
B,2023-02-12,135.19464353227653
B,2023-02-13,150.4345962223827
B,2023-02-14,151.1097934019414
B,2023-02-15,167.00659026349032
B,2023-02-16,161.1516022297686
B,2023-02-17,145.7722764355046
B,2023-02-18,135.51076428708183
B,2023-02-19,141.10692876059227
B,2023-02-20,154.89427807384078
B,2023-02-21,147.84191569846053
B,2023-02-22,179.3593925322315
B,2023-02-23,162.09881602289093
B,2023-02-24,143.0772924189145
B,2023-02-25,136.78036106614704
B,2023-02-26,145.2349784270747
B,2023-02-27,153.5533763657938
B,2023-02-28,154.04336543033148
B,2023-03-01,181.76087585088328
B,2023-03-02,160.84501214336854
B,2023-03-03,154.86278018353144
B,2023-03-04,136.72378223056631
B,2023-03-05,153.24079008845436
B,2023-03-06,157.71806213335367
B,2023-03-07,171.63053524387314
B,2023-03-08,164.8523984858456
B,2023-03-09,170.52512782485957
B,2023-03-10,154.63065290044537
B,2023-03-11,150.43715869466263
B,2023-03-12,142.00400240513008
B,2023-03-13,154.86383728923528
B,2023-03-14,183.55097242312408
